ticker,date,time,open,low,high,close
EURCHF,20091119,00:00:00,1.5107,1.5104,1.5143,1.5115
EURCHF,20091120,00:00:00,1.5116,1.5111,1.5134,1.5117
EURCHF,20091123,00:00:00,1.5127,1.5100,1.5127,1.5108
EURCHF,20091124,00:00:00,1.5108,1.5093,1.5116,1.5094
EURCHF,20091125,00:00:00,1.5095,1.5075,1.5101,1.5078
EURCHF,20091126,00:00:00,1.5079,1.5008,1.5129,1.5056
EURCHF,20091127,00:00:00,1.5056,1.5037,1.5096,1.5046
EURCHF,20091130,00:00:00,1.5073,1.5049,1.5089,1.5082
EURCHF,20091201,00:00:00,1.5083,1.5066,1.5093,1.5070
EURCHF,20091202,00:00:00,1.5069,1.5062,1.5079,1.5071
EURCHF,20091203,00:00:00,1.5072,1.5062,1.5088,1.5067
EURCHF,20091204,00:00:00,1.5066,1.5053,1.5105,1.5094
EURCHF,20091207,00:00:00,1.5099,1.5092,1.5125,1.5114
EURCHF,20091208,00:00:00,1.5113,1.5093,1.5118,1.5097
EURCHF,20091209,00:00:00,1.5096,1.5091,1.5120,1.5116
EURCHF,20091210,00:00:00,1.5117,1.5102,1.5127,1.5108
EURCHF,20091211,00:00:00,1.5108,1.5106,1.5131,1.5125
EURCHF,20091214,00:00:00,1.5127,1.5107,1.5138,1.5117
EURCHF,20091215,00:00:00,1.5117,1.5112,1.5132,1.5122
EURCHF,20091216,00:00:00,1.5121,1.5078,1.5135,1.5090
EURCHF,20091217,00:00:00,1.5091,1.5003,1.5092,1.5019
EURCHF,20091218,00:00:00,1.5018,1.4906,1.5020,1.4947
EURCHF,20091221,00:00:00,1.4893,1.4891,1.4965,1.4930
EURCHF,20091222,00:00:00,1.4930,1.4924,1.4987,1.4938
EURCHF,20091223,00:00:00,1.4938,1.4871,1.4956,1.4892
EURCHF,20091224,00:00:00,1.4892,1.4875,1.4920,1.4911
EURCHF,20091228,00:00:00,1.4894,1.4870,1.4916,1.4881
EURCHF,20091229,00:00:00,1.4880,1.4849,1.4899,1.4876
EURCHF,20091230,00:00:00,1.4875,1.4852,1.4890,1.4860
EURCHF,20091231,00:00:00,1.4859,1.4818,1.4871,1.4827
EURCHF,20100104,00:00:00,1.4823,1.4805,1.4886,1.4841
EURCHF,20100105,00:00:00,1.4840,1.4823,1.4872,1.4845
EURCHF,20100106,00:00:00,1.4845,1.4790,1.4854,1.4804
EURCHF,20100107,00:00:00,1.4803,1.4769,1.4837,1.4802
EURCHF,20100108,00:00:00,1.4803,1.4740,1.4825,1.4749
EURCHF,20100111,00:00:00,1.4754,1.4721,1.4790,1.4744
EURCHF,20100112,00:00:00,1.4745,1.4733,1.4768,1.4754
EURCHF,20100113,00:00:00,1.4753,1.4743,1.4798,1.4772
EURCHF,20100114,00:00:00,1.4771,1.4752,1.4806,1.4768
EURCHF,20100115,00:00:00,1.4767,1.4741,1.4778,1.4760
EURCHF,20100118,00:00:00,1.4748,1.4732,1.4774,1.4743
EURCHF,20100119,00:00:00,1.4744,1.4737,1.4778,1.4750
EURCHF,20100120,00:00:00,1.4749,1.4719,1.4767,1.4723
EURCHF,20100121,00:00:00,1.4722,1.4673,1.4742,1.4681
EURCHF,20100122,00:00:00,1.4682,1.4672,1.4743,1.4723
EURCHF,20100125,00:00:00,1.4721,1.4703,1.4738,1.4708
EURCHF,20100126,00:00:00,1.4709,1.4701,1.4739,1.4725
EURCHF,20100127,00:00:00,1.4725,1.4706,1.4737,1.4723
